# x_m,y_m,w_tr_right_m,w_tr_left_m
12.8377,-12.4163,0.9120,0.9120
12.9278,-12.5063,0.9120,0.9120
13.0179,-12.5964,0.9120,0.9120
13.1080,-12.6865,0.9120,0.9120
13.1981,-12.7766,0.9120,0.9120
13.2882,-12.8667,0.9120,0.9120
13.3783,-12.9568,0.9120,0.9120
13.4684,-13.0469,0.9120,0.9120
13.5585,-13.1370,0.9120,0.9120
13.6486,-13.2271,0.9120,0.9120
13.7386,-13.3172,0.9120,0.9120
13.8287,-13.4072,0.9120,0.9120
13.9188,-13.4973,0.9120,0.9120
14.0089,-13.5874,0.9120,0.9120
14.0990,-13.6775,0.9120,0.9120
14.1891,-13.7676,0.9120,0.9120
14.2792,-13.7676,0.8746,0.8746
14.3693,-13.8577,0.9087,0.9087
14.4594,-13.9478,0.9120,0.9120
14.5495,-14.0379,0.9120,0.9120
14.6395,-14.1280,0.9120,0.9120
14.7296,-14.2181,0.9120,0.9120
14.8197,-14.3081,0.9120,0.9120
14.9098,-14.3982,0.9120,0.9120
14.9999,-14.4883,0.9120,0.9120
15.0900,-14.5784,0.9120,0.9120
15.1801,-14.6685,0.9120,0.9120
15.2702,-14.7586,0.9120,0.9120
15.3603,-14.8487,0.9120,0.9120
15.4504,-14.9388,0.9120,0.9120
15.5404,-15.0289,0.9120,0.9120
15.6305,-15.1190,0.9120,0.9120
15.7206,-15.2090,0.9120,0.9120
15.8107,-15.2991,0.9120,0.9120
15.9008,-15.3892,0.9120,0.9120
15.9909,-15.4793,0.9120,0.9120
16.0810,-15.5694,0.9120,0.9120
16.1711,-15.6595,0.9120,0.9120
16.2612,-15.7496,0.9120,0.9120
16.3513,-15.8397,0.9120,0.9120
16.4413,-15.9298,0.9120,0.9120
16.5314,-16.0199,0.9120,0.9120
16.6215,-16.1099,0.9120,0.9120
16.7116,-16.1099,0.8746,0.8746
16.8017,-16.2000,0.9087,0.9087
16.8918,-16.2901,0.9120,0.9120
16.9819,-16.3802,0.9120,0.9120
17.0720,-16.4703,0.9120,0.9120
17.1621,-16.5604,0.9120,0.9120
17.2522,-16.6505,0.9120,0.9120
17.3422,-16.7406,0.9120,0.9120
17.4323,-16.8307,0.9120,0.9120
17.5224,-16.9208,0.9120,0.9120
17.6125,-17.0108,0.9120,0.9120
17.7026,-17.1009,0.9120,0.9120
17.7927,-17.1910,0.9120,0.9120
17.8828,-17.2811,0.9120,0.9120
17.9729,-17.3712,0.9120,0.9120
18.0630,-17.4613,0.9120,0.9120
18.1531,-17.5514,0.9120,0.9120
18.2431,-17.6415,0.9120,0.9120
18.3332,-17.7316,0.9120,0.9120
18.4233,-17.8217,0.9120,0.9120
18.5134,-17.9117,0.9120,0.9120
18.6035,-18.0018,0.9120,0.9120
18.6936,-18.0919,0.9120,0.9120
18.7837,-18.1820,0.9120,0.9120
18.8738,-18.2721,0.9120,0.9120
18.9639,-18.3622,0.9120,0.9120
19.0540,-18.4523,0.9120,0.9120
19.1440,-18.5424,0.9120,0.9120
19.2341,-18.6325,0.9120,0.9120
19.3242,-18.7226,0.9120,0.9120
19.4143,-18.8126,0.9120,0.9120
19.5044,-18.8126,0.8746,0.8746
19.5945,-18.9027,0.9087,0.9087
19.6846,-18.9928,0.9120,0.9120
19.7747,-19.0829,0.9120,0.9120
19.8648,-19.1730,0.9120,0.9120
19.9549,-19.2631,0.9120,0.9120
20.0449,-19.3532,0.9120,0.9120
20.1350,-19.4433,0.9120,0.9120
20.2251,-19.5334,0.9120,0.9120
20.3152,-19.6235,0.9120,0.9120
20.4053,-19.7135,0.9120,0.9120
20.4954,-19.8036,0.9120,0.9120
20.5855,-19.8937,0.9120,0.9120
20.6756,-19.9838,0.9120,0.9120
20.7657,-20.0739,0.9120,0.9120
20.8558,-20.1640,0.9120,0.9120
20.9458,-20.2541,0.9120,0.9120
21.0359,-20.3442,0.9120,0.9120
21.1260,-20.4343,0.9120,0.9120
21.2161,-20.5244,0.9120,0.9120
21.3062,-20.6144,0.9120,0.9120
21.3963,-20.7045,0.9120,0.9120
21.4864,-20.7946,0.9120,0.9120
21.5765,-20.8847,0.9120,0.9120
21.6666,-20.9748,0.9120,0.9120
21.7567,-21.0649,0.9120,0.9120
21.8467,-21.1550,0.9120,0.9120
21.9368,-21.2451,0.9120,0.9120
22.0269,-21.3352,0.9120,0.9120
22.1170,-21.4253,0.9120,0.9120
22.2071,-21.5153,0.9120,0.9120
22.2972,-21.6054,0.9120,0.9120
22.3873,-21.6955,0.9120,0.9120
22.4774,-21.7856,0.9120,0.9120
22.5675,-21.8757,0.9120,0.9120
22.6576,-21.8757,0.8746,0.8746
22.7476,-21.9658,0.9087,0.9087
22.8377,-22.0559,0.9120,0.9120
22.9278,-22.1460,0.9120,0.9120
23.0179,-22.2361,0.9120,0.9120
23.1080,-22.3262,0.9120,0.9120
23.1981,-22.4162,0.9120,0.9120
23.2882,-22.5063,0.9120,0.9120
23.3783,-22.5964,0.9120,0.9120
23.4684,-22.6865,0.9120,0.9120
23.5585,-22.7766,0.9120,0.9120
23.6485,-22.8667,0.9120,0.9120
23.7386,-22.9568,0.9120,0.9120
23.8287,-23.0469,0.9120,0.9120
23.9188,-23.1370,0.9120,0.9120
24.0089,-23.2271,0.9120,0.9120
24.0990,-23.3171,0.9120,0.9120
24.1891,-23.4072,0.9120,0.9120
24.2792,-23.4973,0.9120,0.9120
24.3693,-23.5874,0.9120,0.9120
24.4594,-23.6775,0.9120,0.9120
24.5494,-23.7676,0.9120,0.9120
24.6395,-23.8577,0.9120,0.9120
24.7296,-23.9478,0.9120,0.9120
24.8197,-24.0379,0.9120,0.9120
24.9098,-24.1280,0.9120,0.9120
24.9999,-24.2180,0.9120,0.9120
25.0900,-24.3081,0.9120,0.9120
25.1801,-24.3982,0.9120,0.9120
25.2702,-24.4883,0.9120,0.9120
25.3603,-24.5784,0.9120,0.9120
25.4503,-24.6685,0.9120,0.9120
25.5404,-24.6685,0.8746,0.8746
25.6305,-24.7586,0.9087,0.9087
25.7206,-24.8487,0.9120,0.9120
25.8107,-24.9388,0.9120,0.9120
25.9008,-25.0289,0.9120,0.9120
25.9909,-25.1189,0.9120,0.9120
26.0810,-25.2090,0.9120,0.9120
26.1711,-25.2991,0.9120,0.9120
26.2612,-25.3892,0.9087,0.9087
26.3512,-25.3892,0.8746,0.8746
26.4413,-25.4793,0.9087,0.9087
26.5314,-25.5694,0.9120,0.9120
26.6215,-25.6595,0.9120,0.9120
26.7116,-25.7496,0.9120,0.9120
26.8017,-25.8397,0.9087,0.9087
26.8918,-25.9298,0.8746,0.8746
26.9819,-25.9298,0.8746,0.8746
27.0720,-26.0198,0.9087,0.9087
27.1621,-26.1099,0.9087,0.9087
27.2521,-26.1099,0.8746,0.8746
27.3422,-26.2000,0.9087,0.9087
27.4323,-26.2901,0.9087,0.9087
27.5224,-26.2901,0.8746,0.8746
27.6125,-26.3802,0.9087,0.9087
27.7026,-26.4703,0.8746,0.8746
27.7927,-26.4703,0.8746,0.8746
27.8828,-26.5604,0.9087,0.9087
27.9729,-26.5604,0.8712,0.8712
28.0630,-26.6505,0.9087,0.9087
28.1530,-26.7406,0.8712,0.8712
28.2431,-26.7406,0.9087,0.9087
28.3332,-26.7406,0.8712,0.8712
28.4233,-26.8307,0.9020,0.9020
28.5134,-26.8307,0.8712,0.8712
28.6035,-26.9207,0.8712,0.8712
28.6936,-26.9207,0.9020,0.9020
28.7837,-26.9207,0.8712,0.8712
28.8738,-27.0108,0.8712,0.8712
28.9639,-27.0108,0.9020,0.9020
29.0539,-27.0108,0.8712,0.8712
